r rho u P M
0.0006907603163642264 176779878.11390653 764.0269056032467 48252535333.058945 0.34003418802669605
0.0007040935198466114 171797442.2670813 759.0721586575074 46596778049.3086 0.35403559576850385
0.0007173054563578857 166959389.72167236 754.1665632506098 44999885287.920204 0.36803700351026064
0.0007304103628689253 162259226.50442123 749.3125208906205 43458921246.853775 0.3820384112519711
0.0007434212424543939 157691454.96242037 744.5050583555199 41971191450.38138 0.39603981899363977
0.0007563500608285322 153250591.35472077 739.7454902871738 40534211275.730255 0.41004122673526205
0.0007692079727176388 148930495.71412852 735.0328564223043 39145687309.51845 0.42404263447684265
0.0007820053253265341 144726747.79514948 730.3644738703382 37803493255.459595 0.4380440422183861
0.0007947518600211863 140634087.60935143 725.7367965233447 36505641511.72241 0.45204544995990176
0.0008074566851601203 136648839.7438716 721.1518117044069 35250291598.505356 0.4660468577013803
0.0008201283948092073 132767091.7537348 716.605382465825 34035715120.567455 0.48004826544281254
0.0008327752343407152 128984130.7166468 712.0998482084939 32860296621.287926 0.49404967318422155
0.0008454049939924233 125297193.97725748 707.6307738552653 31722522394.79848 0.5080510809255935
0.0008580251572472936 121702710.65924233 703.1979744370278 30620968918.14782 0.5220524886669329
0.0008706428812885292 118197934.74541682 698.7995142099824 29554296793.503967 0.5360538964082352
0.0008832651101437798 114779589.95126943 694.4336298951871 28521240592.297337 0.5500553041495051
0.0008958986224415094 111444487.02598712 690.1012749426125 27520604944.186886 0.5640567118907471
0.0009085498801851938 108191222.04322122 685.7954775976239 26551258060.49956 0.5780581196319661
0.0009212253060070272 105016335.06278789 681.519198067019 25612128700.76375 0.5920595273731617
0.0009339311683339867 101917744.01736486 677.2687560419578 24702201616.634396 0.606060935114325
0.0009466735457035938 98893940.2197487 673.0419511268166 23820512045.958862 0.6200623428554836
0.0009594585517539595 95941916.78692618 668.8388795964592 22966142230.335697 0.6340637505966144
0.0009722921202437125 93060603.4577917 664.6540630460553 22138214572.041203 0.6480651583377219
0.000985180116187485 90248281.78972168 660.4864509824655 21335894324.54603 0.6620665660788202
0.0009981284969796328 87502326.72515191 656.3353621511761 20558385304.5415 0.6760679738199046
0.0010111430988942903 84821818.37109779 652.198526262541 19804924447.68434 0.6900693815609751
0.0010242296506359513 82205846.90955272 648.070354952144 19074783756.32342 0.7040707893020178
0.0010373941064232952 79651543.70119211 643.9549973239592 18367265369.92033 0.7180721970430511
0.0010506422719366896 77158563.90539886 639.845867672382 17681701650.830883 0.7320736047840707
0.0010639800746554658 74725038.41898319 635.74056706913 17017447302.276524 0.7460750125250809
0.0010774132846949375 72350814.58889219 631.6389699150807 16373884570.212172 0.7600764202660818
0.0010909479346203942 70033511.12086312 627.5349099793057 15750420844.883186 0.7740778280070688
0.001104590125159823 67771982.5212037 623.4270511074553 15146483759.020514 0.788079235748042
0.0011183458777893121 65565897.45343518 619.3112418968459 14561523656.048151 0.802080643489015
0.0011322213039122264 63414129.490980126 615.1824585129813 13995009228.606535 0.8160820512299835
0.0011462226134642463 61315605.31359011 611.0333419646768 13446428282.932465 0.830083458970938
0.0011603559871936893 59269878.22214664 606.858473536841 12915287203.130524 0.8440848667118787
0.0011746277531402653 57275776.5433614 602.6561834047106 12401105300.044998 0.8580862744528194
0.0011890444932691863 55331808.23592267 598.4329527934632 11903420079.917454 0.8720876821937553
0.0012036128719777805 53437264.61106042 594.1875267118522 11421783360.499525 0.8860890899346774
0.0012183396341529365 51591476.798626654 589.9145285920094 10955761338.827076 0.9000904976755996
0.001233231620813657 49793747.084584214 585.6088676352565 10504932849.457186 0.9140919054165123
0.0012482957932887656 48043325.549082294 581.2650838492102 10068889684.183708 0.9280933131574205
0.0012635391329265274 46339802.98015673 576.8804997669274 9647234123.666965 0.9420947208983241
0.001278969120048089 44681340.33347234 572.4553213282361 9239580978.54515 0.9560961286392045
0.0012945934701689065 43067043.833813496 567.9974983171891 8845555736.585865 0.9700975363800801
0.00131042026539292 41495735.6667639 563.5207413211303 8464794783.610152 0.9840989441209467
0.001326458781167906 39964269.66130581 559.0839115405875 8096943222.491312 0.9981003518618131
0.0013427311624087835 38442035.866261184 555.5855824176837 7741661848.464334 1.0121017596026796
0.0013592370495453746 36984273.00229609 551.405226849835 7398626714.095308 1.0261031673435506
0.0013759899412347971 35558208.51045448 547.4890223173038 7067520053.077045 1.0401045750844355
0.001393009723866023 34152031.75168628 544.2095538749029 6748032761.512574 1.0541059828253159
0.0014103270330682468 32748042.98966265 542.2036813079743 6439873504.893537 1.0681073905661918
0.0014279726818282267 31351772.40053419 541.392786221655 6142773964.266885 1.082108798307072
0.001445969573000938 29982137.231180146 541.2111447217545 5856487266.432392 1.0961102060479664
0.0014643855508226305 28571252.569646094 544.5262398432027 5580759082.579317 1.1101116137888838
0.0014839203221626621 26245936.151098743 592.0280093630081 5315324207.812578 1.1241130215298059
0.0015049181024223272 23759452.187275082 662.7661585248966 5060519142.022429 1.1381144292707466
0.0015262311570786143 22759060.477040373 657.1261221047037 4816740146.712703 1.152115837011715
0.001547870381030276 21793980.563093416 651.434615093743 4583525360.282438 1.1661172447526973
0.0015698455661325536 20864549.28842842 645.6793814188533 4360453943.263326 1.1801186524937122
0.0015921657850788771 19970517.427646473 639.8389197682262 4147151612.84699 1.1941200602347595
0.001614842194020853 19109099.916708086 634.0259922198882 3943248627.5020285 1.2081214679758439
0.0016378834754156974 18281552.100376878 628.077932427533 3748376689.591871 1.2221228757169562
0.0016612988977175289 17486379.400483232 622.0136502398376 3562186374.6239696 1.2361242834581008
0.0016850998170298685 16721121.621861018 615.9399922068753 3384340965.2730017 1.2501256911992826
0.001709297526597554 15985081.545010325 609.8471738038537 3214511730.750323 1.2641270989405016
0.0017339022809211772 15278156.503083969 603.657162248206 3052380199.918047 1.2781285066817574
0.0017589247487666273 14599235.105749412 597.3741459767881 2897639509.0814023 1.2921299144230505
0.001784377340813576 13946524.150675163 591.0651330481713 2749995934.680027 1.3061313221643713
0.0018102723707204612 13319402.681833556 584.7500037777208 2609163791.7694416 1.3201327299057295
0.0018366202872714258 12718094.093955608 578.3281540546868 2474869306.0543976 1.3341341376471385
0.0018634314768950333 12141785.190557862 571.7607078613763 2346847248.83723 1.3481355453885893
0.0018907202057874216 11587966.818838386 565.231339260158 2224841184.2032757 1.3621369531300862
0.0019184980432834545 11057170.001832543 558.6523043227854 2108604301.839143 1.3761383608716298
0.0019467772485531076 10548386.15672228 552.0197628762917 1997898708.9785235 1.3901397686132242
0.0019755689763071675 10061308.160252435 545.2932590668131 1892494539.2154207 1.404141176354865
0.0020048857365796173 9594727.117370006 538.5565629379305 1792169650.9415734 1.4181425840965523
0.0020347388213523727 9148348.549630294 531.7298273150786 1696709779.45365 1.4321439918383045
0.002065141859818018 8720762.225662788 524.9494330786661 1605907827.7636564 1.4461453995800937
0.002096105437543961 8312193.162132242 518.103723821875 1519564361.5167353 1.4601468073219293
0.002127642314246171 7921348.718468152 511.251429706509 1437486530.631887 1.4741482150638159
0.0021597629280507647 7548154.832070073 504.36523332797077 1359488322.7398448 1.4881496228057536
0.00219247871686299 7191678.329669724 497.4606088040632 1285389835.5058808 1.5021510305477515
0.0022257988466328864 6851740.749190135 490.48780767615966 1215016866.17365 1.5161524382898004
0.002259733057899635 6527515.1081955535 483.46159734689076 1148200124.4805968 1.530153846031891
0.002294290892475259 6218367.033821544 464.06819111563556 1084781140.0865898 1.5441552537740282
0.0023294808921501633 5923813.833673881 458.60970395565585 1024612169.1054107 1.5581566615162117
0.002365313156904166 5642948.002081782 453.07589516891466 967540774.3555738 1.5721580692584554
0.002401796332516179 5375396.007264374 447.44143906717653 913418123.6721063 1.5861594770007545
0.002438938073285049 5120690.688346984 441.6964659279361 862103676.1797345 1.6001608847431004
0.002476746217941534 4878203.74755474 435.85518407458443 813463574.237852 1.6141622924855017
0.0025152274198186816 4647506.800637422 429.9103515084415 767369485.0935373 1.6281637002279448
0.002554388561996836 4428001.056812069 423.8789099457808 723698047.9494405 1.6421651079704342
0.002594234730923924 4219338.356867203 417.74838458661907 682330738.1642965 1.6561665157129748
0.0026347696669836314 4021106.954350474 411.51629064290967 643153657.5819527 1.6701679234555615
0.002675995813993227 3832887.8483607355 405.18291729499566 606057389.4136713 1.6841693311981856
0.0027179153945831084 3654168.520241241 398.76224553707056 570936881.5234675 1.6981707389408558
0.0027605308299590535 3484426.717654447 392.26990594762924 537691335.3187257 1.7121721466835633
0.0028038448800733443 3323160.9185796436 385.7207300514571 506224155.3562501 1.7261735544263077
0.0028478626939404247 3169751.4839980262 379.1471200177176 476442951.57471853 1.7401749621690754
0.0028925931140300113 3023551.065970016 372.5866985592182 448259649.7977863 1.754176369911871
0.002938048643572178 2883988.9587869467 366.0704797034693 421590636.2261925 1.768177777654699
0.002984245240225459 2750572.7158084908 359.617986121005 396356499.43491626 1.7821791853975595
0.0030312015177992035 2622911.1171025536 353.2360455524696 372482176.114014 1.7961805931404524
0.00307893808400804 2500688.24391018 346.92404981405076 349896462.2007629 1.810182000883373
0.0031274771507027294 2383635.7912294986 340.6765680591337 328532011.3891137 1.8241834086263216
0.0031768425225755423 2271507.0426846016 334.48466159312676 308325118.89809084 1.8381848163692887
0.0032270597166047113 2164068.9793407274 328.3435586846612 289215416.8904834 1.8521862241122744
0.003278155969605401 2061106.555029901 322.24877219449803 271145741.7593469 1.866187631855274
0.003330160632885693 1962406.135307229 316.19782256760715 254062047.1495037 1.880189039598292
0.003383105153134034 1867773.1400796608 310.1882915459189 237913112.07387277 1.8941904473413287
0.0034370218915888325 1777068.7948110693 304.207997191697 222650460.35331634 1.9081918550843886
0.0034919470931649597 1690066.6812401488 298.25347253224834 208228153.84773448 1.9221932628274623
0.003547917308671722 1606671.583971094 292.3163417466427 194602794.72637644 1.93619467057055
0.003604972739726822 1526695.8688578892 286.4086191560599 181733098.7187086 1.950196078313647
0.003663159113394028 1449925.42707574 280.5329763096129 169579983.97127792 1.9641974860567577
0.003722713570440361 1371811.738098638 275.62080698928196 158106610.28629234 1.9781988937998825
0.003783928655150673 1291999.4057933388 272.01363631533155 147280293.0802738 1.9922003015430072
0.003846945009748657 1214535.3361471486 268.62261119583405 137072089.59330112 2.006201709286132
0.003911884606806131 1140012.6488274406 265.4894133920227 127454604.7394076 2.0202031170292614
0.003978813228711054 1069470.2473991604 262.5360720484414 118401631.36475235 2.0342045247724
0.004047843899502003 1002073.5666960243 259.91529369050676 109887489.22740947 2.048205932515539
0.0041190835682668216 937932.3750387228 257.54861974985636 101887044.82258041 2.062207340258687
0.004192660447690839 876768.2277497753 255.44316211039805 94375523.22763142 2.0762087480018345
0.004273461014667926 769529.4521527356 275.0434256613395 87330465.6724781 2.090210155744978
0.004342966381747839 699559.4415238466 284.88681712499493 81363237.02915977 2.101551296016924
