r rho u P M
43237082.76214579 1207062709.6756587 1.5071519981311488e+18 6.492655505133689e+26 5.3708399999152864e+32
44225329.170394324 1172546266.0585246 1.497141190153151e+18 6.266412345156387e+26 5.649327999903994e+32
45198413.04569366 1139156821.9411352 1.4872525145775007e+18 6.0490218561739e+26 5.9278159998917795e+32
46157989.04380673 1106836038.5926008 1.4774787752669842e+18 5.8399482308339946e+26 6.206303999878827e+32
47105534.84096095 1075518337.076525 1.4678115180886495e+18 5.638708889169112e+26 6.484791999865321e+32
48042380.00313195 1045144189.1008306 1.458251741875511e+18 5.4448681637045254e+26 6.763279999850985e+32
48969704.305331826 1015687421.009149 1.448794917369479e+18 5.258030724824138e+26 7.041767999835542e+32
49888594.48969095 987084264.5959482 1.4394319054197926e+18 5.07783562217682e+26 7.320255999819085e+32
50800040.73753375 959296326.6997006 1.430167289639013e+18 4.903951576691905e+26 7.598743999801705e+32
51704947.4127031 932291104.5262455 1.4209915779403832e+18 4.7360745408202314e+26 7.877231999783495e+32
52604146.730624415 906036177.5306178 1.4119072795009708e+18 4.573924147046581e+26 8.155719999764363e+32
53498414.50251178 880495245.4782971 1.4029125615245908e+18 4.41724160412976e+26 8.4342079997444e+32
54388470.37646044 855642175.3390886 1.3940023033409856e+18 4.265786978502003e+26 8.7126959997237e+32
55274991.86447351 831445869.4201816 1.3851697367093655e+18 4.119335987027542e+26 8.991183999702447e+32
56158612.452886365 807884598.2326941 1.3764186547125742e+18 3.9776809479792243e+26 9.269671999680455e+32
57039929.858980365 784935230.9250008 1.3677411614098468e+18 3.840626827372683e+26 9.548159999657542e+32
57919517.548396744 762569904.1259869 1.359141721873558e+18 3.7079913353393414e+26 9.826647999634167e+32
58797917.33217304 740772284.6804512 1.3506118711413757e+18 3.57960366367535e+26 1.0105135999610054e+33
59675649.68654927 719521261.132269 1.3421512561739937e+18 3.455303180514541e+26 1.0383623999585296e+33
60553212.393617205 698800598.6931024 1.333756182334814e+18 3.3349387467600056e+26 1.0662111999559799e+33
61431088.410499886 678590927.5695359 1.3254232841604357e+18 3.218367570086232e+26 1.0940599999533657e+33
62309749.19080698 658873392.5219891 1.3171543814428977e+18 3.10545476361383e+26 1.1219087999506962e+33
63189644.16688023 639639693.3667485 1.3089361676176463e+18 2.996072615087444e+26 1.1497575999479805e+33
64071220.032788746 620869374.5156759 1.300774292651571e+18 2.8901002445761187e+26 1.1776063999452188e+33
64954912.75762877 602550126.5329554 1.2926617321627587e+18 2.787423090360887e+26 1.2054551999423924e+33
65841145.103684954 584673029.8759296 1.2845942863897516e+18 2.6879322876392224e+26 1.2333039999395569e+33
66730342.27448788 567220307.4856813 1.2765721390865336e+18 2.5915242755626108e+26 1.261152799936666e+33
67622916.9629502 550185631.848088 1.2685848339546056e+18 2.4981000250567597e+26 1.289001599933729e+33
68519277.08083957 533558843.32087886 1.260630365981527e+18 2.407565342422394e+26 1.3168503999307735e+33
69419836.96493347 517324422.2437363 1.252707434898193e+18 2.3198303854756795e+26 1.3446991999277904e+33
70325002.52809788 501476930.0971993 1.2448117075406697e+18 2.23480904921258e+26 1.3725479999247796e+33
71235172.20173042 486010987.926305 1.236932517737277e+18 2.152419185592449e+26 1.4003967999217134e+33
72150760.10174018 470909635.9856754 1.229077784630721e+18 2.0725820472789635e+26 1.4282455999186289e+33
73072170.01319677 456170835.5355459 1.2212349384847813e+18 1.9952222973198026e+26 1.4560943999155166e+33
73999814.19228765 441783536.2100123 1.2133994006107738e+18 1.920267119730036e+26 1.483943199912386e+33
74934093.9505329 427746835.5056174 1.2055709312852838e+18 1.8476468064765033e+26 1.5117919999092367e+33
75875428.85284841 414046654.9203969 1.1977377613979223e+18 1.7772944868349147e+26 1.53964079990606e+33
